,istech,area_title,tot_emp,jobs_1000,population,median_age,average_income,family_poverty,educational_attainment_bachelors,educational_attainment_graduate,educational_attainment_high_school,educational_attainment_no_diploma,educational_attainment_some_college,race_asian,race_white,race_black,race_hispanic,race_native,race_islander,race_two,race_other
0,0,"Abilene, TX",116170,869,133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
1,1,"Abilene, TX",4450,33,133731,29,52989,16198,19975,9695,40965,19258,43669,2626,81145,12275,34147,689,73,2576,200
2,0,"Akron, OH",548230,1463,374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
3,1,"Akron, OH",33910,91,374675,38,57023,52405,60910,29186,132252,41708,110658,9945,279041,66305,7245,784,77,10800,478
4,0,"Albany, GA",95360,973,98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
5,1,"Albany, GA",4120,42,98002,35,53876,24957,11517,8460,29032,16919,32046,959,28981,63178,2916,119,26,1761,62
6,0,"Albany, OR",73910,1164,63503,38,72395,6409,11043,5806,15482,5150,26013,1185,52553,367,7282,410,47,1649,10
7,1,"Albany, OR",2620,41,63503,38,72395,6409,11043,5806,15482,5150,26013,1185,52553,367,7282,410,47,1649,10
8,0,"Albuquerque, NM",665760,1042,638803,36,66708,92558,111538,91807,152964,78799,203804,14485,252843,16466,317922,22924,353,11870,1940
9,1,"Albuquerque, NM",37920,59,638803,36,66708,92558,111538,91807,152964,78799,203804,14485,252843,16466,317922,22924,353,11870,1940
10,0,"Alexandria, LA",98060,1514,64782,40,58470,11744,8400,5555,23571,9809,17446,1862,27828,32237,1587,226,7,1004,31
11,1,"Alexandria, LA",2900,45,64782,40,58470,11744,8400,5555,23571,9809,17446,1862,27828,32237,1587,226,7,1004,31
12,0,"Altoona, PA",97210,1574,61762,40,55368,9357,7932,3707,28874,6570,14736,190,57740,1486,934,0,7,1386,19
13,1,"Altoona, PA",3670,59,61762,40,55368,9357,7932,3707,28874,6570,14736,190,57740,1486,934,0,7,1386,19
14,0,"Amarillo, TX",186700,819,227906,36,72544,28207,32787,15679,61809,38650,78994,8040,131730,14345,68070,829,174,4539,179
15,1,"Amarillo, TX",7380,32,227906,36,72544,28207,32787,15679,61809,38650,78994,8040,131730,14345,68070,829,174,4539,179
16,0,"Ames, IA",68650,992,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14
17,1,"Ames, IA",5650,82,69189,22,35781,2342,19565,19574,13031,1540,13890,6813,55861,1683,2352,175,34,2257,14
18,0,"Anchorage, AK",285610,315,906735,34,103078,50058,198858,113526,215091,58227,320844,82416,539625,46959,79809,61260,20832,73740,2094
19,1,"Anchorage, AK",18150,20,906735,34,103078,50058,198858,113526,215091,58227,320844,82416,539625,46959,79809,61260,20832,73740,2094
20,0,"Ann Arbor, MI",340760,2070,164626,29,79945,8478,48743,71547,12527,4830,26936,25432,114843,10621,6512,357,57,6491,313
21,1,"Ann Arbor, MI",19000,115,164626,29,79945,8478,48743,71547,12527,4830,26936,25432,114843,10621,6512,357,57,6491,313
22,0,"Appleton, WI",206610,1351,152949,37,74026,10096,33401,13978,46074,10840,48698,7539,130402,2904,8374,780,45,2702,203
23,1,"Appleton, WI",9970,65,152949,37,74026,10096,33401,13978,46074,10840,48698,7539,130402,2904,8374,780,45,2702,203
24,0,"Asheville, NC",328340,1711,191941,41,71349,16348,49168,29664,41972,15695,55401,2924,157211,14351,12624,831,171,3686,143
25,1,"Asheville, NC",12070,63,191941,41,71349,16348,49168,29664,41972,15695,55401,2924,157211,14351,12624,831,171,3686,143
26,0,"Athens-Clarke County, GA",136160,969,140556,29,45080,25290,28134,27501,30672,17545,34487,5665,82883,34414,14550,157,6,2688,193
27,1,"Athens-Clarke County, GA",3390,24,140556,29,45080,25290,28134,27501,30672,17545,34487,5665,82883,34414,14550,157,6,2688,193
28,0,"Bakersfield, CA",549390,1169,470160,30,71101,77596,62320,32383,127766,92655,155076,27014,190050,25427,213855,2197,613,10547,457
29,1,"Bakersfield, CA",20080,43,470160,30,71101,77596,62320,32383,127766,92655,155076,27014,190050,25427,213855,2197,613,10547,457
30,0,"Bangor, ME",105240,1968,53468,40,80487,5491,11218,6744,15024,3840,16601,963,49770,542,805,288,5,1025,70
31,1,"Bangor, ME",5210,97,53468,40,80487,5491,11218,6744,15024,3840,16601,963,49770,542,805,288,5,1025,70
32,0,"Barnstable Town, MA",163550,2467,66298,51,115259,3400,13935,9694,18621,3428,20628,607,57944,2676,2309,726,133,1286,617
33,1,"Barnstable Town, MA",7970,120,66298,51,115259,3400,13935,9694,18621,3428,20628,607,57944,2676,2309,726,133,1286,617
34,0,"Baton Rouge, LA",654880,1673,391399,29,60870,56140,85731,51957,103453,40451,109858,14631,163829,188955,16603,618,123,6028,612
35,1,"Baton Rouge, LA",33070,84,391399,29,60870,56140,85731,51957,103453,40451,109858,14631,163829,188955,16603,618,123,6028,612
36,0,"Battle Creek, MI",81820,872,93815,40,62566,13313,13475,6027,33712,8385,32242,2588,70663,11263,4912,578,49,3700,62
37,1,"Battle Creek, MI",3900,42,93815,40,62566,13313,13475,6027,33712,8385,32242,2588,70663,11263,4912,578,49,3700,62
38,0,"Bay City, MI",49140,743,66132,41,56197,9342,8354,4296,22049,7080,24349,406,58531,1229,4126,190,0,1614,36
39,1,"Bay City, MI",1840,28,66132,41,56197,9342,8354,4296,22049,7080,24349,406,58531,1229,4126,190,0,1614,36
40,0,"Beckley, WV",70040,108421,646,37,46718,120,7,24,323,136,154,0,522,124,0,0,0,0,0
41,1,"Beckley, WV",2270,3514,646,37,46718,120,7,24,323,136,154,0,522,124,0,0,0,0,0
42,0,"Bellingham, WA",142590,1543,92414,33,70157,8749,23562,13534,18518,5806,30897,4974,72450,1172,6764,3538,233,3248,35
43,1,"Bellingham, WA",5900,64,92414,33,70157,8749,23562,13534,18518,5806,30897,4974,72450,1172,6764,3538,233,3248,35
44,0,"Billings, MT",148940,1092,136413,38,85427,9853,29138,13327,40161,9865,43958,921,117015,833,7920,6079,124,3422,99
45,1,"Billings, MT",5590,41,136413,38,85427,9853,29138,13327,40161,9865,43958,921,117015,833,7920,6079,124,3422,99
46,0,"Binghamton, NY",158930,5603,28365,40,62885,4206,3936,3179,9434,3025,8768,598,23229,1919,1499,65,0,1045,10
47,1,"Binghamton, NY",4820,170,28365,40,62885,4206,3936,3179,9434,3025,8768,598,23229,1919,1499,65,0,1045,10
48,0,"Bismarck, ND",118010,1324,89120,36,86447,4604,22812,8838,20583,5521,31358,685,79940,1560,1958,3405,39,1492,41
49,1,"Bismarck, ND",5870,66,89120,36,86447,4604,22812,8838,20583,5521,31358,685,79940,1560,1958,3405,39,1492,41
50,0,"Bloomington, IL",122370,869,140839,32,92406,11617,44479,24035,31652,5531,35147,8655,107317,13521,7723,238,25,2698,662
51,1,"Bloomington, IL",25400,180,140839,32,92406,11617,44479,24035,31652,5531,35147,8655,107317,13521,7723,238,25,2698,662
52,0,"Bloomington, IN",98000,1093,89672,24,33606,11929,21929,18577,19024,7319,22802,4612,75770,2878,3340,202,24,2773,73
53,1,"Bloomington, IN",8550,95,89672,24,33606,11929,21929,18577,19024,7319,22802,4612,75770,2878,3340,202,24,2773,73
54,0,"Boise City, ID",590750,1379,428241,37,83485,31093,108525,52819,96275,22231,148254,11078,365079,5412,33309,1731,525,10718,389
55,1,"Boise City, ID",44170,103,428241,37,83485,31093,108525,52819,96275,22231,148254,11078,365079,5412,33309,1731,525,10718,389
56,0,"Boulder, CO",289730,5659,51198,35,103085,1616,16005,23857,2616,1255,7432,2487,41951,382,4569,57,67,1533,152
57,1,"Boulder, CO",30650,599,51198,35,103085,1616,16005,23857,2616,1255,7432,2487,41951,382,4569,57,67,1533,152
58,0,"Bowling Green, KY",117970,993,118775,28,63319,15532,20728,13926,35470,14736,33902,4075,94140,11191,6099,441,296,2266,267
59,1,"Bowling Green, KY",4490,38,118775,28,63319,15532,20728,13926,35470,14736,33902,4075,94140,11191,6099,441,296,2266,267
60,0,"Brunswick, GA",66520,1266,52564,36,50403,12354,6246,3702,17154,8041,17386,898,26251,19842,4084,178,31,1197,83
61,1,"Brunswick, GA",3210,61,52564,36,50403,12354,6246,3702,17154,8041,17386,898,26251,19842,4084,178,31,1197,83
62,0,"Burlington, NC",105380,703,149923,37,63433,20181,22732,11435,43199,23150,49322,2455,95565,29652,18833,421,63,2787,147
63,1,"Burlington, NC",4660,31,149923,37,63433,20181,22732,11435,43199,23150,49322,2455,95565,29652,18833,421,63,2787,147
64,0,"Carson City, NV",47040,772,60964,45,73084,6614,7868,5063,17304,8279,22443,1384,41565,870,14379,1152,59,1466,89
65,1,"Carson City, NV",3610,59,60964,45,73084,6614,7868,5063,17304,8279,22443,1384,41565,870,14379,1152,59,1466,89
66,0,"Casper, WY",63510,1316,48243,34,67012,2953,7411,3983,13742,3636,19472,325,41589,765,4073,430,5,1056,0
67,1,"Casper, WY",2200,46,48243,34,67012,2953,7411,3983,13742,3636,19472,325,41589,765,4073,430,5,1056,0
68,0,"Cedar Rapids, IA",233740,1484,157513,38,93509,10712,38221,17118,39824,6882,55461,4143,137414,6992,4482,89,120,3918,355
69,1,"Cedar Rapids, IA",23420,149,157513,38,93509,10712,38221,17118,39824,6882,55461,4143,137414,6992,4482,89,120,3918,355
70,0,"Charleston, WV",177680,1908,93146,42,68480,11937,16250,13631,31074,8680,23476,1283,78202,8636,1274,64,0,3503,184
71,1,"Charleston, WV",11450,123,93146,42,68480,11937,16250,13631,31074,8680,23476,1283,78202,8636,1274,64,0,3503,184
72,0,"Charlottesville, VA",178460,2201,81099,34,92357,6778,22380,22511,13668,7189,15319,5573,56875,11066,5251,193,22,2067,52
73,1,"Charlottesville, VA",8420,104,81099,34,92357,6778,22380,22511,13668,7189,15319,5573,56875,11066,5251,193,22,2067,52
74,0,"Cheyenne, WY",73190,2135,34274,43,96731,856,8260,5449,6477,1336,12818,567,29095,1101,2728,130,0,653,0
75,1,"Cheyenne, WY",4310,126,34274,43,96731,856,8260,5449,6477,1336,12818,567,29095,1101,2728,130,0,653,0
76,0,"Chico, CA",126900,1140,111302,31,72754,13104,27101,14289,19297,8306,42339,4437,81137,1922,18938,382,192,4020,274
77,1,"Chico, CA",5680,51,111302,31,72754,13104,27101,14289,19297,8306,42339,4437,81137,1922,18938,382,192,4020,274
78,0,"Cleveland, TN",60410,616,98124,38,64591,14001,13924,8448,30732,15649,29291,1194,84521,4778,6090,65,32,1271,173
79,1,"Cleveland, TN",2930,30,98124,38,64591,14001,13924,8448,30732,15649,29291,1194,84521,4778,6090,65,32,1271,173
80,0,"Colorado Springs, CO",471660,1115,423172,35,89122,35205,101914,68514,80702,25860,146224,10306,307347,20421,64840,1658,750,16607,1243
81,1,"Colorado Springs, CO",44910,106,423172,35,89122,35205,101914,68514,80702,25860,146224,10306,307347,20421,64840,1658,750,16607,1243
82,0,"Columbia, MO",137590,920,149625,27,50957,16955,41401,33012,28395,9331,37186,7233,114828,14770,5435,217,151,6659,332
83,1,"Columbia, MO",8630,58,149625,27,50957,16955,41401,33012,28395,9331,37186,7233,114828,14770,5435,217,151,6659,332
